"U:0","U:1","U:2","alpha.water","epsilon","k","nut","p","p_rgh","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.3274,4.5311e-05,5.3095e-05,1,15.674,0.03489,3.6782e-06,18.995,-2917.6,1,0,0.55,0.0025,0
1.3328,4.554e-05,5.2387e-05,1,15.433,0.034767,4.0228e-06,18.902,-2917.7,1,1.5e-05,0.55,0.0025,1.5e-05
1.3383,4.5769e-05,5.1679e-05,1,15.192,0.034644,4.3673e-06,18.809,-2917.8,1,3e-05,0.55,0.0025,3e-05
1.3437,4.5998e-05,5.097e-05,1,14.951,0.034521,4.7119e-06,18.716,-2917.8,1,4.5e-05,0.55,0.0025,4.5e-05
1.3491,4.6226e-05,5.0262e-05,1,14.71,0.034398,5.0564e-06,18.624,-2917.9,1,6e-05,0.55,0.0025,6e-05
1.3546,4.6455e-05,4.9554e-05,1,14.469,0.034275,5.401e-06,18.531,-2917.9,1,7.5e-05,0.55,0.0025,7.5e-05
1.36,4.6684e-05,4.8846e-05,1,14.228,0.034152,5.7455e-06,18.438,-2918,1,9e-05,0.55,0.0025,9e-05
1.3655,4.6913e-05,4.8138e-05,1,13.988,0.034029,6.0901e-06,18.345,-2918.1,1,0.000105,0.55,0.0025,0.000105
1.3709,4.7142e-05,4.743e-05,1,13.747,0.033906,6.4346e-06,18.252,-2918.1,1,0.00012,0.55,0.0025,0.00012
1.3764,4.7371e-05,4.6722e-05,1,13.506,0.033783,6.7792e-06,18.159,-2918.2,1,0.000135,0.55,0.0025,0.000135
1.3818,4.76e-05,4.6013e-05,1,13.265,0.033659,7.1237e-06,18.066,-2918.2,1,0.00015,0.55,0.0025,0.00015
1.3873,4.7829e-05,4.5305e-05,1,13.024,0.033536,7.4683e-06,17.973,-2918.3,1,0.000165,0.55,0.0025,0.000165
1.3927,4.8057e-05,4.4597e-05,1,12.783,0.033413,7.8128e-06,17.88,-2918.4,1,0.00018,0.55,0.0025,0.00018
1.3982,4.8286e-05,4.3889e-05,1,12.542,0.03329,8.1574e-06,17.788,-2918.4,1,0.000195,0.55,0.0025,0.000195
1.4036,4.8515e-05,4.3181e-05,1,12.302,0.033167,8.5019e-06,17.695,-2918.5,1,0.00021,0.55,0.0025,0.00021
1.4091,4.8744e-05,4.2473e-05,1,12.061,0.033044,8.8465e-06,17.602,-2918.5,1,0.000225,0.55,0.0025,0.000225
1.4145,4.8973e-05,4.1765e-05,1,11.82,0.032921,9.191e-06,17.509,-2918.6,1,0.00024,0.55,0.0025,0.00024
1.42,4.9202e-05,4.1056e-05,1,11.579,0.032798,9.5356e-06,17.416,-2918.7,1,0.000255,0.55,0.0025,0.000255
1.4254,4.9431e-05,4.0348e-05,1,11.338,0.032675,9.8801e-06,17.323,-2918.7,1,0.00027,0.55,0.0025,0.00027
1.4309,4.9659e-05,3.964e-05,1,11.097,0.032552,1.0225e-05,17.23,-2918.8,1,0.000285,0.55,0.0025,0.000285
1.4363,4.9888e-05,3.8932e-05,1,10.856,0.032429,1.0569e-05,17.137,-2918.8,1,0.0003,0.55,0.0025,0.0003
1.4418,5.0117e-05,3.8224e-05,1,10.616,0.032306,1.0914e-05,17.044,-2918.9,1,0.000315,0.55,0.0025,0.000315
1.4472,5.0346e-05,3.7516e-05,1,10.375,0.032183,1.1258e-05,16.952,-2919,1,0.00033,0.55,0.0025,0.00033
1.4545,5.0639e-05,3.5832e-05,1,10.093,0.032052,1.1711e-05,16.836,-2919,1,0.000345,0.55,0.0025,0.000345
1.4623,5.0949e-05,3.3869e-05,1,9.8004,0.031919,1.2194e-05,16.713,-2919,1,0.00036,0.55,0.0025,0.00036
1.4701,5.126e-05,3.1905e-05,1,9.5075,0.031786,1.2678e-05,16.59,-2919,1,0.000375,0.55,0.0025,0.000375
1.4779,5.1571e-05,2.9942e-05,1,9.2146,0.031653,1.3161e-05,16.468,-2919,1,0.00039,0.55,0.0025,0.00039
1.4857,5.1882e-05,2.7979e-05,1,8.9216,0.03152,1.3645e-05,16.345,-2919,1,0.000405,0.55,0.0025,0.000405
1.4935,5.2193e-05,2.6016e-05,1,8.6287,0.031387,1.4128e-05,16.223,-2919,1,0.00042,0.55,0.0025,0.00042
1.5013,5.2503e-05,2.4053e-05,1,8.3358,0.031254,1.4612e-05,16.1,-2919,1,0.000435,0.55,0.0025,0.000435
1.5091,5.2814e-05,2.209e-05,1,8.0428,0.031121,1.5095e-05,15.978,-2919,1,0.00045,0.55,0.0025,0.00045
1.5169,5.3125e-05,2.0127e-05,1,7.7499,0.030988,1.5579e-05,15.855,-2919,1,0.000465,0.55,0.0025,0.000465
1.5247,5.3436e-05,1.8164e-05,1,7.457,0.030855,1.6062e-05,15.732,-2919,1,0.00048,0.55,0.0025,0.00048
1.5325,5.3747e-05,1.6201e-05,1,7.164,0.030722,1.6546e-05,15.61,-2919,1,0.000495,0.55,0.0025,0.000495
1.5403,5.4057e-05,1.4238e-05,1,6.8711,0.030589,1.7029e-05,15.487,-2919,1,0.00051,0.55,0.0025,0.00051
1.5481,5.4368e-05,1.2275e-05,1,6.5782,0.030456,1.7513e-05,15.365,-2919,1,0.000525,0.55,0.0025,0.000525
1.5559,5.4679e-05,1.0311e-05,1,6.2852,0.030323,1.7996e-05,15.242,-2919,1,0.00054,0.55,0.0025,0.00054
1.5637,5.499e-05,8.3484e-06,1,5.9923,0.03019,1.848e-05,15.12,-2919,1,0.000555,0.55,0.0025,0.000555
1.5715,5.5301e-05,6.3853e-06,1,5.6994,0.030057,1.8963e-05,14.997,-2919,1,0.00057,0.55,0.0025,0.00057
1.5793,5.5611e-05,4.4222e-06,1,5.4064,0.029925,1.9446e-05,14.874,-2919,1,0.000585,0.55,0.0025,0.000585
1.5871,5.5922e-05,2.4591e-06,1,5.1135,0.029792,1.993e-05,14.752,-2919,1,0.0006,0.55,0.0025,0.0006
1.5949,5.6233e-05,4.9601e-07,1,4.8206,0.029659,2.0413e-05,14.629,-2919,1,0.000615,0.55,0.0025,0.000615
1.6027,5.6544e-05,-1.4671e-06,1,4.5276,0.029526,2.0897e-05,14.507,-2919,1,0.00063,0.55,0.0025,0.00063
1.6105,5.6855e-05,-3.4302e-06,1,4.2347,0.029393,2.138e-05,14.384,-2919,1,0.000645,0.55,0.0025,0.000645
1.6183,5.7165e-05,-5.3933e-06,1,3.9418,0.02926,2.1864e-05,14.262,-2919,1,0.00066,0.55,0.0025,0.00066
1.6237,5.7345e-05,-8.008e-06,1,3.7753,0.029219,2.2402e-05,14.139,-2919,1,0.000675,0.55,0.0025,0.000675
1.6272,5.7421e-05,-1.1144e-05,1,3.71,0.029252,2.2984e-05,14.015,-2919,1,0.00069,0.55,0.0025,0.00069
1.6307,5.7496e-05,-1.428e-05,1,3.6447,0.029284,2.3566e-05,13.892,-2919,1,0.000705,0.55,0.0025,0.000705
1.6342,5.7571e-05,-1.7416e-05,1,3.5793,0.029317,2.4148e-05,13.769,-2919,1,0.00072,0.55,0.0025,0.00072
1.6377,5.7647e-05,-2.0552e-05,1,3.514,0.02935,2.473e-05,13.645,-2919,1,0.000735,0.55,0.0025,0.000735
1.6412,5.7722e-05,-2.3688e-05,1,3.4487,0.029383,2.5312e-05,13.522,-2919,1,0.00075,0.55,0.0025,0.00075
1.6448,5.7798e-05,-2.6824e-05,1,3.3834,0.029416,2.5894e-05,13.399,-2919,1,0.000765,0.55,0.0025,0.000765
1.6483,5.7873e-05,-2.996e-05,1,3.3181,0.029449,2.6476e-05,13.276,-2919,1,0.00078,0.55,0.0025,0.00078
1.6518,5.7948e-05,-3.3096e-05,1,3.2528,0.029481,2.7058e-05,13.152,-2919,1,0.000795,0.55,0.0025,0.000795
1.6553,5.8024e-05,-3.6232e-05,1,3.1874,0.029514,2.764e-05,13.029,-2919,1,0.00081,0.55,0.0025,0.00081
1.6588,5.8099e-05,-3.9368e-05,1,3.1221,0.029547,2.8222e-05,12.906,-2919,1,0.000825,0.55,0.0025,0.000825
1.6623,5.8174e-05,-4.2504e-05,1,3.0568,0.02958,2.8804e-05,12.782,-2919,1,0.00084,0.55,0.0025,0.00084
1.6658,5.825e-05,-4.564e-05,1,2.9915,0.029613,2.9386e-05,12.659,-2919,1,0.000855,0.55,0.0025,0.000855
1.6694,5.8325e-05,-4.8776e-05,1,2.9262,0.029645,2.9968e-05,12.536,-2919,1,0.00087,0.55,0.0025,0.00087
1.6729,5.84e-05,-5.1912e-05,1,2.8609,0.029678,3.055e-05,12.413,-2919,1,0.000885,0.55,0.0025,0.000885
1.6764,5.8476e-05,-5.5048e-05,1,2.7956,0.029711,3.1132e-05,12.289,-2919,1,0.0009,0.55,0.0025,0.0009
1.6799,5.8551e-05,-5.8184e-05,1,2.7302,0.029744,3.1714e-05,12.166,-2919,1,0.000915,0.55,0.0025,0.000915
1.6834,5.8627e-05,-6.132e-05,1,2.6649,0.029777,3.2296e-05,12.043,-2919,1,0.00093,0.55,0.0025,0.00093
1.6869,5.8702e-05,-6.4456e-05,1,2.5996,0.02981,3.2878e-05,11.919,-2919,1,0.000945,0.55,0.0025,0.000945
1.6904,5.8777e-05,-6.7592e-05,1,2.5343,0.029842,3.346e-05,11.796,-2919,1,0.00096,0.55,0.0025,0.00096
1.6939,5.8853e-05,-7.0728e-05,1,2.469,0.029875,3.4042e-05,11.673,-2919,1,0.000975,0.55,0.0025,0.000975
1.6975,5.8928e-05,-7.3864e-05,1,2.4037,0.029908,3.4624e-05,11.55,-2919,1,0.00099,0.55,0.0025,0.00099
1.7004,5.8954e-05,-7.7202e-05,1,2.3558,0.029971,3.5184e-05,11.426,-2919,1,0.001005,0.55,0.0025,0.001005
1.7021,5.8882e-05,-8.0943e-05,1,2.3428,0.030094,3.57e-05,11.301,-2919,1,0.00102,0.55,0.0025,0.00102
1.7039,5.8809e-05,-8.4684e-05,1,2.3299,0.030217,3.6215e-05,11.177,-2919,1,0.001035,0.55,0.0025,0.001035
1.7056,5.8737e-05,-8.8425e-05,1,2.3169,0.03034,3.6731e-05,11.052,-2919,1,0.00105,0.55,0.0025,0.00105
1.7074,5.8664e-05,-9.2165e-05,1,2.3039,0.030462,3.7247e-05,10.927,-2919,1,0.001065,0.55,0.0025,0.001065
1.7092,5.8591e-05,-9.5906e-05,1,2.291,0.030585,3.7762e-05,10.803,-2919,1,0.00108,0.55,0.0025,0.00108
1.7109,5.8519e-05,-9.9647e-05,1,2.278,0.030708,3.8278e-05,10.678,-2919,1,0.001095,0.55,0.0025,0.001095
1.7127,5.8446e-05,-0.00010339,1,2.265,0.030831,3.8793e-05,10.553,-2919,1,0.00111,0.55,0.0025,0.00111
1.7144,5.8374e-05,-0.00010713,1,2.2521,0.030954,3.9309e-05,10.429,-2919,1,0.001125,0.55,0.0025,0.001125
1.7162,5.8301e-05,-0.00011087,1,2.2391,0.031077,3.9825e-05,10.304,-2919,1,0.00114,0.55,0.0025,0.00114
1.7179,5.8229e-05,-0.00011461,1,2.2261,0.0312,4.034e-05,10.18,-2919,1,0.001155,0.55,0.0025,0.001155
1.7197,5.8156e-05,-0.00011835,1,2.2132,0.031323,4.0856e-05,10.055,-2919,1,0.00117,0.55,0.0025,0.00117
1.7214,5.8084e-05,-0.00012209,1,2.2002,0.031446,4.1371e-05,9.9302,-2919,1,0.001185,0.55,0.0025,0.001185
1.7232,5.8011e-05,-0.00012583,1,2.1872,0.031569,4.1887e-05,9.8056,-2919,1,0.0012,0.55,0.0025,0.0012
1.725,5.7939e-05,-0.00012957,1,2.1743,0.031691,4.2403e-05,9.681,-2919,1,0.001215,0.55,0.0025,0.001215
1.7267,5.7866e-05,-0.00013331,1,2.1613,0.031814,4.2918e-05,9.5563,-2919,1,0.00123,0.55,0.0025,0.00123
1.7285,5.7794e-05,-0.00013706,1,2.1484,0.031937,4.3434e-05,9.4317,-2919,1,0.001245,0.55,0.0025,0.001245
1.7302,5.7721e-05,-0.0001408,1,2.1354,0.03206,4.3949e-05,9.307,-2919,1,0.00126,0.55,0.0025,0.00126
1.732,5.7649e-05,-0.00014454,1,2.1224,0.032183,4.4465e-05,9.1824,-2919,1,0.001275,0.55,0.0025,0.001275
1.7337,5.7576e-05,-0.00014828,1,2.1095,0.032306,4.4981e-05,9.0578,-2919,1,0.00129,0.55,0.0025,0.00129
1.7355,5.7504e-05,-0.00015202,1,2.0965,0.032429,4.5496e-05,8.9331,-2919,1,0.001305,0.55,0.0025,0.001305
1.7372,5.7431e-05,-0.00015576,1,2.0835,0.032552,4.6012e-05,8.8085,-2919,1,0.00132,0.55,0.0025,0.00132
1.7389,5.7349e-05,-0.0001595,0.99947,2.0729,0.032683,4.6512e-05,8.6845,-2917.4,1,0.001335,0.55,0.0025,0.001335
1.7398,5.7189e-05,-0.00016321,0.99466,2.0809,0.032877,4.6884e-05,8.5652,-2903.4,1,0.00135,0.55,0.0025,0.00135
1.7406,5.7029e-05,-0.00016692,0.98985,2.0889,0.033072,4.7257e-05,8.446,-2889.3,1,0.001365,0.55,0.0025,0.001365
1.7415,5.6869e-05,-0.00017063,0.98504,2.097,0.033267,4.763e-05,8.3268,-2875.3,1,0.00138,0.55,0.0025,0.00138
1.7424,5.6709e-05,-0.00017434,0.98024,2.105,0.033462,4.8002e-05,8.2076,-2861.2,1,0.001395,0.55,0.0025,0.001395
1.7432,5.6549e-05,-0.00017806,0.97543,2.113,0.033656,4.8375e-05,8.0884,-2847.2,1,0.00141,0.55,0.0025,0.00141
1.7441,5.6389e-05,-0.00018177,0.97062,2.121,0.033851,4.8748e-05,7.9692,-2833.2,1,0.001425,0.55,0.0025,0.001425
1.7449,5.6228e-05,-0.00018548,0.96582,2.129,0.034046,4.912e-05,7.85,-2819.1,1,0.00144,0.55,0.0025,0.00144
1.7458,5.6068e-05,-0.00018919,0.96101,2.1371,0.034241,4.9493e-05,7.7308,-2805.1,1,0.001455,0.55,0.0025,0.001455
1.7467,5.5908e-05,-0.0001929,0.9562,2.1451,0.034435,4.9866e-05,7.6115,-2791,1,0.00147,0.55,0.0025,0.00147
1.7475,5.5748e-05,-0.00019661,0.95139,2.1531,0.03463,5.0238e-05,7.4923,-2777,1,0.001485,0.55,0.0025,0.001485
1.7484,5.5588e-05,-0.00020033,0.94659,2.1611,0.034825,5.0611e-05,7.3731,-2762.9,1,0.0015,0.55,0.0025,0.0015
1.7493,5.5428e-05,-0.00020404,0.94178,2.1691,0.03502,5.0984e-05,7.2539,-2748.9,1,0.001515,0.55,0.0025,0.001515
1.7501,5.5268e-05,-0.00020775,0.93697,2.1772,0.035214,5.1356e-05,7.1347,-2734.8,1,0.00153,0.55,0.0025,0.00153
1.751,5.5108e-05,-0.00021146,0.93217,2.1852,0.035409,5.1729e-05,7.0155,-2720.8,1,0.001545,0.55,0.0025,0.001545
1.7519,5.4948e-05,-0.00021517,0.92736,2.1932,0.035604,5.2102e-05,6.8963,-2706.8,1,0.00156,0.55,0.0025,0.00156
1.7527,5.4788e-05,-0.00021888,0.92255,2.2012,0.035799,5.2474e-05,6.7771,-2692.7,1,0.001575,0.55,0.0025,0.001575
1.7536,5.4628e-05,-0.0002226,0.91774,2.2093,0.035993,5.2847e-05,6.6578,-2678.7,1,0.00159,0.55,0.0025,0.00159
1.7545,5.4468e-05,-0.00022631,0.91294,2.2173,0.036188,5.322e-05,6.5386,-2664.6,1,0.001605,0.55,0.0025,0.001605
1.7553,5.4308e-05,-0.00023002,0.90813,2.2253,0.036383,5.3592e-05,6.4194,-2650.6,1,0.00162,0.55,0.0025,0.00162
1.7562,5.4148e-05,-0.00023373,0.90332,2.2333,0.036578,5.3965e-05,6.3002,-2636.5,1,0.001635,0.55,0.0025,0.001635
1.757,5.3987e-05,-0.00023744,0.89852,2.2413,0.036772,5.4338e-05,6.181,-2622.5,1,0.00165,0.55,0.0025,0.00165
1.7579,5.3827e-05,-0.00024115,0.89371,2.2494,0.036967,5.471e-05,6.0618,-2608.4,1,0.001665,0.55,0.0025,0.001665
1.7583,5.3603e-05,-0.00024367,0.87457,2.2696,0.037225,5.4989e-05,5.9749,-2552.6,1,0.00168,0.55,0.0025,0.00168
1.7586,5.337e-05,-0.00024603,0.85364,2.2914,0.037491,5.5256e-05,5.892,-2491.4,1,0.001695,0.55,0.0025,0.001695
1.7589,5.3137e-05,-0.00024839,0.83271,2.3132,0.037757,5.5522e-05,5.8091,-2430.3,1,0.00171,0.55,0.0025,0.00171
1.7592,5.2904e-05,-0.00025075,0.81177,2.335,0.038022,5.5789e-05,5.7262,-2369.2,1,0.001725,0.55,0.0025,0.001725
1.7595,5.2671e-05,-0.00025311,0.79084,2.3568,0.038288,5.6056e-05,5.6433,-2308.1,1,0.00174,0.55,0.0025,0.00174
